slug,payer,category,source_url,pdf_path,exit_code,status,compatibility_class,form_type,is_xfa,is_supported_acroform,can_fill_values,supported_fillable_field_count,field_count,validation_message,error
bcbstx-rx-standard-pa,BCBSTX,pharmacy,https://www.bcbstx.com/medicaid/pdf/medicaid-rx-pa-request-form-tx.pdf,bcbstx-rx-standard-pa.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,126,127,PDF contains a supported AcroForm.,
caremark-florida-prior-auth,Caremark,pharmacy,https://www.caremark.com/content/dam/enterprise/caremark/pdfs/pa-state-requirements/Florida_Prior_Authorization_Form.pdf,caremark-florida-prior-auth.pdf,1,unsupported,unsupported,acroform,False,False,False,0,0,Form exists but contains no fields.,
caremark-minnesota-state-pa,Caremark,pharmacy,https://www.caremark.com/content/dam/enterprise/caremark/pdfs/pa-state-requirements/Minnesota_State_PA_Request_Form_Commercial.pdf,caremark-minnesota-state-pa.pdf,1,unsupported,unsupported,acroform,False,False,False,0,0,Form exists but contains no fields.,
cigna-arizona-prior-auth,Cigna,medical,https://static.cigna.com/assets/chcp/pdf/resourceLibrary/prescription/stateSpecific/ArizonaGeneralMedPriorAuth.pdf,cigna-arizona-prior-auth.pdf,1,unsupported,unsupported,acroform,False,False,False,0,0,Form exists but contains no fields.,
cigna-general-med-prior-auth,Cigna,medical,https://static.cigna.com/assets/chcp/pdf/resourceLibrary/prescription/GeneralMedPriorAuth.pdf,cigna-general-med-prior-auth.pdf,1,unsupported,unsupported,acroform,False,False,False,0,0,Form exists but contains no fields.,
express-scripts-benefit-coverage-request,ExpressScripts,pharmacy,https://www.express-scripts.com/pdf/forms/Benefit-Coverage-Request-Form.pdf,express-scripts-benefit-coverage-request.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
humana-state-specific-prior-auth,Humana,medical,https://assets.humana.com/is/content/humana/State-specific%20prior%20authorization%20request%20formpdf,humana-state-specific-prior-auth.pdf,1,unsupported,unsupported,acroform,False,False,False,0,0,Form exists but contains no fields.,
molina-tx-standard-pa-form,Molina,medical,https://www.molinahealthcare.com/providers/tx/medicaid/forms/~/media/Molina/PublicWebsite/PDF/providers/tx/medicaid/forms/standard-pa-form-hcs-tx.pdf,molina-tx-standard-pa-form.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,92,92,PDF contains a supported AcroForm.,
optumrx-general-prior-auth,OptumRx,pharmacy,https://contenthub-aem.optumrx.com/content/dam/contenthub/onboarding/assets/documents/General_CMS-Comm_0.pdf,optumrx-general-prior-auth.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
uhc-co-pharmacy-pa,UnitedHealthcare,pharmacy,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/drugs-pharmacy/CO-COMM-Prescription-PA-Form.pdf,uhc-co-pharmacy-pa.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
uhc-tx-commercial-prior-auth,UnitedHealthcare,medical,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/commercial/TX-Commercial-Prior-Author-Form.pdf,uhc-tx-commercial-prior-auth.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,96,98,PDF contains a supported AcroForm.,
